x_m,y_m
1.296476992695911257e+01,-3.323728404258166513e+00
1.297691708978371317e+01,-3.296130868397651348e+00
1.298848889552619390e+01,-3.269115439175156013e+00
1.300060420577153408e+01,-3.240307152349144904e+00
1.301254085962908569e+01,-3.211699826295079330e+00
1.302344317634046966e+01,-3.184871259544598487e+00
1.303540801291401152e+01,-3.154947895732242991e+00
1.304650710706714456e+01,-3.126967636680415552e+00
1.305739090034100514e+01,-3.098839867858885100e+00
1.306829023854718663e+01,-3.070135435321102779e+00
1.307941951099976485e+01,-3.040483989526074016e+00
1.309103095137459150e+01,-3.011551346346101443e+00
1.310193319371535736e+01,-2.983529649021497754e+00
1.311262416729724833e+01,-2.954965266200010543e+00
1.312358041007249554e+01,-2.924935110907397107e+00
1.313430103233130630e+01,-2.895077254598128480e+00
1.314503997262707813e+01,-2.866682022039325428e+00
1.315558795900733280e+01,-2.837374811578639910e+00
1.316592875947545949e+01,-2.807613996156517633e+00
1.317576209407418197e+01,-2.778171276893584896e+00
1.318545964269619297e+01,-2.748062754548581843e+00
1.319477903191052448e+01,-2.718118229158927868e+00
1.320384925804087217e+01,-2.687928058934182740e+00
1.321268794017830395e+01,-2.657571699715027158e+00
1.322116622406000275e+01,-2.627426561604622179e+00
1.322929897645048669e+01,-2.597389494506270324e+00
1.323749395920301630e+01,-2.566324039173692562e+00
1.324563650318401464e+01,-2.535024021524272531e+00
1.325311180083986784e+01,-2.505096654756066687e+00
1.326069848862578482e+01,-2.474002087883131473e+00
1.326821286983779835e+01,-2.442780829486083327e+00
1.327524017517129273e+01,-2.412505958987862797e+00
1.328233166925001463e+01,-2.381386595961563657e+00
1.328949883099650364e+01,-2.349757372112030396e+00
1.329658491404571485e+01,-2.318227518743495530e+00
1.330343896306934859e+01,-2.287214638004169132e+00
1.331009627213863844e+01,-2.256448956930944938e+00
1.331678365957507992e+01,-2.225273255850662046e+00
1.332341556563189044e+01,-2.194109161462302726e+00
1.332996357568171142e+01,-2.163048336759479717e+00
1.333648919295849034e+01,-2.131927029920135830e+00
1.334295237252197808e+01,-2.100921564892638038e+00
1.334935403406125332e+01,-2.070025249502141396e+00
1.335566465487973709e+01,-2.039347763723182272e+00
1.336251449162042881e+01,-2.009347914619326492e+00
1.336929962621784540e+01,-1.978823480170717186e+00
1.337589460282115539e+01,-1.948412875692896673e+00
1.338226145028155578e+01,-1.918210414494312843e+00
1.338838332614876414e+01,-1.888296917647285911e+00
1.339428907979508310e+01,-1.858469587247741028e+00
1.340037263537955603e+01,-1.827587256727287279e+00
1.340600238071051464e+01,-1.798093208978843727e+00
1.341147325895543041e+01,-1.768587756447841830e+00
1.341762739475123745e+01,-1.738990196397061538e+00
1.342371348090194516e+01,-1.708733289435579117e+00
1.342932780127611991e+01,-1.679646275810779743e+00
1.343449772864578762e+01,-1.651245936233932454e+00
1.343962011557886171e+01,-1.621862156975392377e+00
1.344461418569298239e+01,-1.592323450370571214e+00
1.344954019387405886e+01,-1.562493576118057170e+00
1.345388461380692391e+01,-1.534845553290294706e+00
1.345833237448064601e+01,-1.505535940788126359e+00
1.346217635940901935e+01,-1.477955430941602755e+00
1.346578237421532087e+01,-1.448816515031139174e+00
1.346888406870602850e+01,-1.420478920834930214e+00
1.347136216076408743e+01,-1.392981713078489614e+00
1.347433096509174177e+01,-1.364578895936621850e+00
1.347584423721302116e+01,-1.336015364432568742e+00
1.347642365843146806e+01,-1.309533286311894029e+00
1.347637327904227789e+01,-1.281854257369183792e+00
1.347547728882921625e+01,-1.255482140830992854e+00
1.347396464009476347e+01,-1.228150529090360488e+00
1.347179825698474076e+01,-1.201174629730190624e+00
1.346885846919205143e+01,-1.176300956813802090e+00
1.346528228489871459e+01,-1.150070298693444792e+00
1.346109516427119779e+01,-1.124438814546068421e+00
1.345627853552581499e+01,-1.101105230125339673e+00
1.345153349641037543e+01,-1.076121440695321230e+00
1.344620266774295381e+01,-1.054310524885829992e+00
1.343993246484148330e+01,-1.030803352752366786e+00
1.343315985121572353e+01,-1.008885122109357102e+00
1.342539923567517945e+01,-9.860429257604375053e-01
1.341776081261768105e+01,-9.675974543435726938e-01
1.340975939712579823e+01,-9.469677813209316231e-01
1.340176181365619712e+01,-9.300769400844072221e-01
1.339176538638651159e+01,-9.087330261639876561e-01
1.338322889852781827e+01,-8.950162776956233079e-01
1.337219506496509247e+01,-8.760259207761833533e-01
1.336278225201446368e+01,-8.633849104963988719e-01
1.335160196992069892e+01,-8.480932137641068458e-01
1.333962320396912205e+01,-8.327626085705515102e-01
1.332942711291306281e+01,-8.221733983973670279e-01
1.331697775882541634e+01,-8.082321324279266861e-01
1.330437915128184834e+01,-7.951761413932010303e-01
1.329149348475197279e+01,-7.824682310706417843e-01
1.327700883451956315e+01,-7.697482919961631254e-01
